,Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
0,"Derke
FNC",,207,278.1,1.37,,170.7,0.97,0.16,0.27,0.21,24%,29%,4/14,30,200,146,34,55,44
1,"heat
VK",,91,264.8,1.22,,176.8,0.97,0.09,0.14,0.18,38%,11%,2/19,24,88,72,8,13,16
2,"leaf
C9",,236,263.4,1.19,,168.7,0.89,0.25,0.23,0.18,22%,18%,3/17,28,210,176,58,55,43
3,"Sacy
VKS",,145,253.7,1.27,,168.3,0.92,0.43,0.12,0.04,27%,16%,3/19,29,133,105,62,18,6
4,"ScreaM
TL",,187,251.8,1.21,,164.0,0.88,0.17,0.16,0.13,31%,10%,2/21,26,164,135,31,29,24
5,"keznit
KRÜ",(+1),317,246.3,1.15,,155.6,0.86,0.22,0.13,0.13,24%,23%,7/30,28,272,236,69,41,42
6,"yay
NV",,156,242.7,1.23,,160.9,0.85,0.14,0.19,0.12,23%,27%,4/15,24,132,107,22,30,18
7,"DubsteP
TS",,163,237.7,1.15,,156.2,0.87,0.11,0.22,0.14,28%,,0/13,28,141,123,18,36,23
8,"BuZz
VS",,170,237.4,1.11,,147.6,0.80,0.15,0.16,0.15,24%,25%,3/12,26,136,122,25,27,25
9,"Patiphan
X10C",,208,237.2,1.12,,158.9,0.81,0.23,0.16,0.13,20%,,0/18,27,168,150,48,33,27
10,"Chronicle
GMB",(+1),356,236.9,1.29,,160.8,0.83,0.23,0.08,0.07,29%,10%,5/48,30,295,229,81,29,25
11,"xand
FUR",,134,231.2,1.03,,145.2,0.79,0.17,0.16,0.16,23%,,0/12,20,106,103,23,22,21
12,"cNed
ACE",,283,229.5,1.19,,152.2,0.81,0.22,0.17,0.12,28%,9%,2/22,25,230,194,62,49,35
13,"zeek
ACE",,283,229.3,1.20,,146.4,0.79,0.35,0.17,0.12,23%,15%,4/27,24,224,187,100,47,33
